pkey,HRYEAR4,PWSSWGT,n_y1_teach,n_y2_obs,n_y2_nonsummer,leaver
399660425370951|79001|2|24060,2005,4192.1763,3,4.0,4.0,1
610309934226570|79001|1|24061,2005,3675.3208,4,4.0,4.0,0
631225036907094|79001|1|24061,2005,3132.4402,4,4.0,4.0,1
946033895149340|79001|1|24059,2005,3682.1672,1,4.0,4.0,0
957003978159840|79001|2|24060,2005,3842.0813,3,3.0,3.0,0
021711530698190|79001|2|24060,2005,3576.718,3,4.0,4.0,0
399930175050951|79001|1|24060,2005,3193.429,3,1.0,1.0,0
610306953924299|79001|2|24061,2005,3658.1172,4,4.0,4.0,0
431190259500833|79001|1|24058,2005,698.792,1,4.0,4.0,0
589960521980961|79001|2|24061,2005,686.8667,3,4.0,4.0,0
599750666900951|79001|1|24060,2005,584.5887,3,4.0,4.0,0
751099064907692|79001|2|24059,2005,661.5169,2,4.0,4.0,0
757195759500812|79001|1|24060,2005,377.8075,3,4.0,4.0,0
965079550699106|79001|2|24060,2005,515.0327,3,4.0,4.0,0
006706911993945|79001|1|24061,2005,500.4097,4,4.0,4.0,0
195964709066502|79001|1|24059,2005,646.9448,2,4.0,4.0,0
940179149500436|79001|1|24059,2005,646.9448,2,4.0,4.0,0
944045213159060|79001|1|24060,2005,581.4164,3,4.0,4.0,0
410507983123395|79001|3|24059,2005,818.7802,2,2.0,2.0,0
815459740749107|79001|2|24059,2005,917.7422,2,4.0,4.0,0
410609954572592|79001|1|24059,2005,946.4937,2,4.0,4.0,0
035601360993492|79001|2|24058,2005,985.6422,1,4.0,4.0,0
198936207018669|79001|2|24061,2005,788.4659,4,4.0,4.0,0
606900911999036|79001|2|24061,2005,784.1257,4,4.0,4.0,0
004606591996176|79001|1|24059,2005,709.1804,2,4.0,4.0,0
196956802024639|79001|2|24061,2005,909.6791,2,4.0,4.0,1
197954508013669|79001|1|24059,2005,1072.1293,2,4.0,4.0,0
085461470958483|79001|2|24059,2005,3388.7305,2,4.0,4.0,0
198943305064788|79001|1|24058,2005,2925.1023,1,4.0,4.0,0
304907191783637|79001|1|24059,2005,4171.3394,2,4.0,4.0,1
371298046909694|79001|1|24061,2005,3244.7944,4,2.0,2.0,0
860778094715009|79001|2|24060,2005,2865.9883,3,4.0,4.0,0
031151470019802|79001|2|24059,2005,3620.4407,2,3.0,3.0,0
099077117160590|79001|1|24061,2005,2550.84,4,4.0,4.0,0
190473096315738|79001|1|24060,2005,2715.362,3,4.0,4.0,0
191974508014729|79001|2|24059,2005,3008.021,1,4.0,4.0,1
192963303039768|79001|2|24058,2005,2706.5332,1,4.0,4.0,0
247838850459106|79001|2|24060,2005,2298.4382,3,3.0,3.0,0
310709957985781|79001|2|24058,2005,2574.375,1,4.0,4.0,0
410709995906798|79001|1|24059,2005,3125.975,2,4.0,4.0,0
435199639700844|79001|1|24058,2005,2780.9482,1,4.0,4.0,0
532103820700145|79001|2|24058,2005,3123.1897,1,4.0,4.0,0
805908351088877|79001|1|24060,2005,2715.362,3,4.0,4.0,0
834191739700672|79001|1|24058,2005,2706.5332,1,4.0,4.0,0
867949260209104|79001|2|24061,2005,2915.239,4,4.0,4.0,0
877247360349107|79001|1|24061,2005,2928.6624,4,4.0,4.0,0
877247360349107|79001|2|24061,2005,2772.4907,4,4.0,4.0,0
960017509167390|79001|1|24061,2005,2726.2092,4,4.0,4.0,0
991007944139500|79001|1|24058,2005,3180.139,1,4.0,4.0,0
353108430700159|79001|2|24060,2005,3032.0444,3,4.0,4.0,0
706907021997227|79001|1|24061,2005,2877.5337,4,4.0,4.0,0
871982096909865|79001|2|24061,2005,3001.667,1,4.0,4.0,1
924097914159420|79001|2|24060,2005,2737.0017,3,4.0,4.0,0
947289530359100|79001|2|24058,2005,3102.068,1,4.0,4.0,0
072047164140070|79001|1|24059,2005,3068.17,2,4.0,4.0,0
570975090013879|79001|1|24058,2005,2864.8481,1,4.0,4.0,0
570975090013879|79001|2|24058,2005,2805.7551,1,4.0,4.0,0
706901641995687|79001|1|24061,2005,3017.0354,4,4.0,4.0,0
706909321993947|79001|1|24061,2005,2884.6284,4,4.0,4.0,0
706909321993947|79001|2|24061,2005,3017.0354,4,4.0,4.0,0
771181066909995|79001|2|24061,2005,2936.496,4,4.0,4.0,0
789200477460961|79001|2|24061,2005,3024.2295,4,4.0,4.0,0
022391480985791|79001|1|24059,2005,3222.537,2,4.0,4.0,0
520185006016790|79001|2|24061,2005,2776.162,4,4.0,4.0,0
818889460059106|79001|2|24061,2005,2905.308,4,4.0,4.0,0
931028859149270|79001|2|24059,2005,2817.0034,2,4.0,4.0,0
