code,n_monthly_2005_07,label
7560,167,Riggers
7600,98,
7610,485,"Helpers--installation, maintenance, and repair workers"
7620,3613,
7700,14499,First-line supervisors of production and operating workers
7710,169,"Aircraft structure, surfaces, rigging, and systems assemblers"
7720,3471,"Electrical, electronics, and electromechanical assemblers"
7730,233,Engine and other machine assemblers
7740,485,Structural metal fabricators and fitters
7750,18684,Other assemblers and fabricators
7800,3266,Bakers
7810,5438,"Butchers and other meat, poultry, and fish processing workers"
7830,243,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7840,1508,Food batchmakers
7850,205,Food cooking machine operators and tenders
7900,970,
7920,296,
7930,144,
7940,242,
7950,1981,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
7960,137,
8000,980,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
8010,339,
8020,73,
8030,6946,Machinists
8040,438,"Metal furnace operators, tenders, pourers, and casters"
8060,166,"Model makers and patternmakers, metal and plastic"
8100,1129,"Molders and molding machine setters, operators, and tenders, metal and plastic"
8120,108,
8130,1453,Tool and die makers
8140,9925,"Welding, soldering, and brazing workers"
8150,166,
8160,120,
8200,422,
8210,179,
8220,7192,
8230,719,
8240,822,
8250,846,Prepress technicians and workers
8260,3511,
8300,3598,Laundry and dry-cleaning workers
8310,1000,"Pressers, textile, garment, and related materials"
8320,4350,Sewing machine operators
8330,226,
8340,155,
8350,1581,"Tailors, dressmakers, and sewers"
8360,108,
8400,159,
8410,278,
8420,354,
8430,45,
8440,65,
8450,820,Upholsterers
8460,448,
8500,1566,Cabinetmakers and bench carpenters
8510,499,Furniture finishers
8520,4,
8530,995,"Sawing machine setters, operators, and tenders, wood"
8540,741,"Woodworking machine setters, operators, and tenders, except sawing"
8550,647,
8600,873,"Power plant operators, distributors, and dispatchers"
8610,1758,Stationary engineers and boiler operators
8620,1387,Water and wastewater treatment plant and system operators
8630,765,Miscellaneous plant and system operators
8640,882,"Chemical processing machine setters, operators, and tenders"
8650,1757,"Crushing, grinding, polishing, mixing, and blending workers"
8710,1515,Cutting workers
8720,647,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
8730,305,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8740,11878,"Inspectors, testers, sorters, samplers, and weighers"
8750,1024,Jewelers and precious stone and metal workers
8760,1653,Dental and ophthalmic laboratory technicians and medical appliance technicians
8800,5028,Packaging and filling machine operators and tenders
8810,3150,Painting workers
8830,1085,Photographic process workers and processing machine operators
8840,61,
8850,328,Adhesive bonding machine operators and tenders
8860,189,
8900,68,
8910,192,Etchers and engravers
8920,751,"Molders, shapers, and casters, except metal and plastic"
8930,885,"Paper goods machine setters, operators, and tenders"
8940,306,Tire builders
8950,849,Helpers--production workers
8960,16221,
9000,3524,
9030,2166,Aircraft pilots and flight engineers
9040,615,Air traffic controllers and airfield operations specialists
9110,208,"Ambulance drivers and attendants, except emergency medical technicians"
9120,9874,
9130,57944,Driver/sales workers and truck drivers
9140,4637,
9150,1158,"Motor vehicle operators, all other"
9200,969,
9230,181,
9240,921,Railroad conductors and yardmasters
9260,235,
9300,401,Sailors and marine oilers
9310,738,Ship and boat captains and operators
9330,77,Ship engineers
9340,86,
9350,1213,Parking attendants
9360,1775,
9410,698,Transportation inspectors
9420,307,
9500,111,
9510,1027,Crane and tower operators
9520,1450,
9560,120,
9600,8470,Industrial truck and tractor operators
9610,5959,Cleaners of vehicles and equipment
9620,32677,"Laborers and freight, stock, and material movers, hand"
9630,752,Machine feeders and offbearers
9640,7382,"Packers and packagers, hand"
9650,526,Pumping station operators
9720,1398,Refuse and recyclable material collectors
9730,62,
9740,103,
9750,901,
9840,452,
