pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
568924705029179|83001|2,TTTT,....,TTTT-....,4,4,0
568932609065089|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
568937501077489|82001|1,TTTT,....,TTTT-....,4,4,0
568992700090439|80001|1,ETTE,EEEE,ETTE-EEEE,4,2,2
569240045430942|83001|1,TTTT,....,TTTT-....,4,4,0
569262899100924|82001|1,TTTT,....,TTTT-....,4,4,0
569360489900938|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
569360489900938|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
569360489900938|82001|1,TTTT,....,TTTT-....,4,4,0
569449420829006|80001|1,TTNE,TTTT,TTNE-TTTT,4,2,2
569679920637002|87001|2,T...,....,T...-....,1,1,0
569750157720961|82001|2,TTTT,....,TTTT-....,4,4,0
569750157720961|83001|1,TTT.,....,TTT.-....,3,3,0
569830325310922|83001|2,TTTN,....,TTTN-....,4,3,1
569880067480982|82001|1,TTTT,....,TTTT-....,4,4,0
569992905038449|80001|2,T...,....,T...-....,1,1,0
570015090716448|83001|1,TTT.,....,TTT.-....,3,3,0
570105007118270|83001|2,T...,....,T...-....,1,1,0
570305077116279|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
570555090734449|82001|1,TTTT,....,TTTT-....,4,4,0
570595090706449|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
570625097148279|81001|1,TNNT,NNTT,TNNT-NNTT,4,2,2
570695070704449|80001|2,TTTT,.TTT,TTTT-.TTT,4,4,0
570715070711448|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
570805077114279|82001|2,TTTT,T...,TTTT-T...,4,4,0
570875090418259|79001|1,ETE.,TTTU,ETE.-TTTU,3,1,2
570885070704449|83001|1,TTTT,....,TTTT-....,4,4,0
570885070704449|83001|2,TTTT,....,TTTT-....,4,4,0
570916609066029|79001|1,TTTT,....,TTTT-....,4,4,0
570930072153599|80001|2,TTTT,.TTT,TTTT-.TTT,4,4,0
570945070741449|83001|1,TTTT,....,TTTT-....,4,4,0
570965090731449|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
570985095743079|83001|2,T...,....,T...-....,1,1,0
