pid,pre,post,full,n_pre_obs,n_pre_T,pre_flips
000023408025621|83001|1,TTT.,....,TTT.-....,3,3,0
000167099104899|82001|2,TTET,T...,TTET-T...,4,3,2
000243260968990|83001|2,ETTT,....,ETTT-....,4,3,1
000564096608309|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
000636071134039|82001|1,TTTT,T...,TTTT-T...,4,4,0
000663096608389|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
000664096636309|80001|1,T..E,.EEE,T..E-.EEE,2,1,1
000784096605309|80001|1,EEET,.EEE,EEET-.EEE,4,1,1
000784096605309|80001|2,TTNT,.TTT,TTNT-.TTT,4,3,2
000892300798991|83001|2,TTTT,....,TTTT-....,4,4,0
000893180998991|82001|1,TTTT,T.EE,TTTT-T.EE,4,4,0
000893480018901|83001|1,TTTT,....,TTTT-....,4,4,0
000893540998991|80001|2,ETTT,TTTT,ETTT-TTTT,4,3,1
000915068833164|83001|1,TTTT,....,TTTT-....,4,4,0
000932510697399|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
000936061128034|83001|2,T...,....,T...-....,1,1,0
000954075351889|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
000967099157899|79001|1,TTUN,....,TTUN-....,4,2,2
000984096633309|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
000994095311889|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
000996071107039|82001|1,TNNN,....,TNNN-....,4,1,1
001002493109026|83001|1,NETN,....,NETN-....,4,1,3
001002493109026|83001|6,NETN,....,NETN-....,4,1,3
001003363106467|82001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
001141062909379|87001|1,T...,....,T...-....,1,1,0
001453570997591|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
001601033941228|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
001604580993992|83001|1,TTTT,....,TTTT-....,4,4,0
001642570994297|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001700862897484|81001|2,TTTT,NNNN,TTTT-NNNN,4,4,0
001708842595484|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
001903151899980|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001903903599786|82001|1,EETT,EEEE,EETT-EEEE,4,2,1
001905743899826|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001906691375777|83001|2,TTTT,....,TTTT-....,4,4,0
001906693895770|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
001962640781695|80001|1,TTTT,....,TTTT-....,4,4,0
001962840981695|80001|2,TTTT,..TT,TTTT-..TT,4,4,0
001963510991695|82001|1,TTTT,....,TTTT-....,4,4,0
001965230111605|87001|1,T...,....,T...-....,1,1,0
001965230761695|80001|2,TT..,....,TT..-....,2,2,0
002111430010608|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
002281043908496|81001|2,NNNT,.UNE,NNNT-.UNE,4,1,1
002291560996298|83001|1,TTTT,....,TTTT-....,4,4,0
002601470017600|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
002601470017600|82001|2,TTTT,T...,TTTT-T...,4,4,0
002603710999132|82001|1,TTTT,NN..,TTTT-NN..,4,4,0
002603710999132|82001|2,TTTT,NN..,TTTT-NN..,4,4,0
002604171991109|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
002604852992839|83001|1,TTTT,....,TTTT-....,4,4,0
002606355995163|83001|3,TTTT,....,TTTT-....,4,4,0
002606595996176|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
002606595996176|81001|3,UEUT,....,UEUT-....,4,1,3
002606912993943|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
002609163998097|87001|2,T...,....,T...-....,1,1,0
002632410018106|82001|1,TTTT,....,TTTT-....,4,4,0
002900790295726|83001|1,TTTT,....,TTTT-....,4,4,0
002900795995725|83001|1,TTTT,....,TTTT-....,4,4,0
002900863997484|87001|1,T...,....,T...-....,1,1,0
002901125990964|80001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
002903054993006|83001|1,TTTT,....,TTTT-....,4,4,0
002904921993606|87001|1,T...,....,T...-....,1,1,0
002904922993601|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
002906274994525|83001|2,ETEE,....,ETEE-....,4,1,2
002944570996397|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
003055151080950|79001|1,TTT.,TTTT,TTT.-TTTT,3,3,0
003160210986194|87001|2,T...,....,T...-....,1,1,0
003173460950091|82001|1,TEEE,E...,TEEE-E...,4,1,1
003175160990091|83001|1,TT..,....,TT..-....,2,2,0
003280520990099|81001|2,TT.T,EEEU,TT.T-EEEU,3,3,0
003280520990099|82001|2,TTTT,....,TTTT-....,4,4,0
003550180992391|80001|2,TTEN,TTTT,TTEN-TTTT,4,2,2
003719084909363|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
003719084909363|82001|1,NNNT,N...,NNNT-N...,4,1,1
003906913593942|83001|1,T...,....,T...-....,1,1,0
004003909097671|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
004007600060831|83001|2,TT..,....,TT..-....,2,2,0
004031704067601|82001|5,ETTT,....,ETTT-....,4,3,1
004430790771694|83001|1,TT..,....,TT..-....,2,2,0
004431600911694|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
004432840981694|82001|2,TTTE,....,TTTE-....,4,3,1
004433320921694|83001|1,TTTT,....,TTTT-....,4,4,0
004601440993335|83001|1,TTTT,....,TTTT-....,4,4,0
004606591996176|82001|1,TTTT,E...,TTTT-E...,4,4,0
004606591996176|82001|2,TTTT,T...,TTTT-T...,4,4,0
004662044909494|82001|1,T...,E...,T...-E...,1,1,0
004673870985394|80001|1,TTTT,....,TTTT-....,4,4,0
004703152999984|80001|1,TTNT,NNNT,TTNT-NNNT,4,3,2
004704891797569|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
004704891797569|83001|2,TTTT,....,TTTT-....,4,4,0
004705293999103|80001|1,TTTT,UTTT,TTTT-UTTT,4,4,0
004705364795981|83001|1,TTTT,....,TTTT-....,4,4,0
004706274994526|82001|2,TTTT,T...,TTTT-T...,4,4,0
004706910793949|83001|1,EEET,....,EEET-....,4,1,1
004900905791911|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
004906513496084|83001|2,NNTT,....,NNTT-....,4,2,1
004934240751893|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
004934640761893|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
004974880932499|79001|2,TTTN,TTTT,TTTN-TTTT,4,3,1
005004864103007|81001|2,ETTT,....,ETTT-....,4,3,1
005005365105983|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
005005365105983|82001|2,ETTT,....,ETTT-....,4,3,1
005005402031131|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
005009904108656|83001|2,TTTT,....,TTTT-....,4,4,0
005023607049641|82001|2,TT.T,.T..,TT.T-.T..,3,3,0
005023607049641|83001|1,EETT,....,EETT-....,4,2,1
005033160923090|80001|1,TTTT,TTT.,TTTT-TTT.,4,4,0
005033160923090|80001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
005037304092691|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005037304092691|82001|1,TTTT,....,TTTT-....,4,4,0
005045307026911|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005045307026911|83001|1,TTTT,....,TTTT-....,4,4,0
005100260933194|81001|2,TTTT,TTNN,TTTT-TTNN,4,4,0
005222350991595|82001|1,T...,....,T...-....,1,1,0
005222350991595|82001|2,T...,....,T...-....,1,1,0
005222350991595|83001|2,EEET,....,EEET-....,4,1,1
005223630961595|81001|1,TTTT,TTUT,TTTT-TTUT,4,4,0
005571700794693|79001|1,TTTT,..EE,TTTT-..EE,4,4,0
005573850984693|81001|1,TTT.,....,TTT.-....,3,3,0
005590580798897|83001|2,NNTT,....,NNTT-....,4,2,1
005615250988797|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
005706102899534|80001|1,TT..,EEEE,TT..-EEEE,2,2,0
005723140973398|83001|2,TTTT,....,TTTT-....,4,4,0
005732170999297|80001|2,NTNN,NTN.,NTNN-NTN.,4,1,2
005733300999297|83001|1,TNNN,....,TNNN-....,4,1,1
005734520999297|82001|1,TTTT,....,TTTT-....,4,4,0
005761570993598|80001|1,NNTT,EEEE,NNTT-EEEE,4,2,1
005764380993598|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
005822550998696|80001|1,EE.T,..E.,EE.T-..E.,3,1,1
005900903591916|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005902082890764|82001|1,ETUN,....,ETUN-....,4,1,3
005903903699786|82001|1,TTTT,....,TTTT-....,4,4,0
005906951599682|81001|1,TTTT,TTNT,TTTT-TTNT,4,4,0
005951025908466|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005993890955892|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005995140995892|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
005995740695892|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
006046605051492|83001|1,TTT.,....,TTT.-....,3,3,0
006046605051492|83001|2,TTT.,....,TTT.-....,3,3,0
006093900029201|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006374480014504|82001|2,TTTT,....,TTTT-....,4,4,0
006374780694594|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006461430018802|83001|2,TTTT,....,TTTT-....,4,4,0
006501180995191|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006501180995191|83001|2,TTTT,....,TTTT-....,4,4,0
006604922993603|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
006608054993377|83001|1,TTT.,....,TTT.-....,3,3,0
006702171990169|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
006702171990169|83001|1,TTT.,....,TTT.-....,3,3,0
006706911993945|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006892560991795|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006902223993960|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006902694998408|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
006902694998408|83001|1,NNT.,....,NNT.-....,3,1,1
006903164498068|82001|1,TTTT,....,TTTT-....,4,4,0
006903364996468|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
006903941994958|82001|3,TT.T,....,TT.T-....,3,3,0
006903943994957|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
006904082990318|81001|2,TEEE,EEE.,TEEE-EEE.,4,1,1
006904113990467|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006904113990467|81001|1,NTTT,....,NTTT-....,4,3,1
006904221996723|83001|1,TTT.,....,TTT.-....,3,3,0
006905292499105|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006905293799108|81001|2,TEEE,TEEE,TEEE-TEEE,4,1,1
006905810994348|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
006905810994348|83001|1,TTT.,....,TTT.-....,3,3,0
006909902998658|79001|2,TTTT,.TTT,TTTT-.TTT,4,4,0
006909902998658|83001|2,TTT.,....,TTT.-....,3,3,0
007001139420890|83001|1,TTNT,....,TTNT-....,4,3,2
007003155109984|81001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
007004125100180|79001|2,T...,....,T...-....,1,1,0
007005608007671|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
007005608007671|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
007007104100447|82001|2,TTTT,....,TTTT-....,4,4,0
007007340300576|82001|1,TTTT,....,TTTT-....,4,4,0
007007340300576|82001|2,TTTT,....,TTTT-....,4,4,0
007011590994191|82001|2,ENTT,....,ENTT-....,4,2,2
007012360994191|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
007012370974191|81001|3,TTTT,TTTT,TTTT-TTTT,4,4,0
007025306047591|80001|1,TTTT,NTTT,TTTT-NTTT,4,4,0
007038504000671|79001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
007096105060270|82001|1,TTT.,....,TTT.-....,3,3,0
007240460010308|82001|1,T.TT,T...,T.TT-T...,3,3,0
007243400010308|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
007281160997997|82001|2,TTTT,EE..,TTTT-EE..,4,4,0
007281820017907|83001|2,T...,....,T...-....,1,1,0
007284700697997|83001|1,TT..,....,TT..-....,2,2,0
007284850017907|79001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
007575210017800|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
007604852942831|79001|1,TNNN,NNNN,TNNN-NNNN,4,1,1
007800460902198|82001|1,TTTT,T...,TTTT-T...,4,4,0
007802570792198|80001|1,NTTT,NTTT,NTTT-NTTT,4,3,1
007804270982198|80001|1,TEEE,TTEE,TEEE-TTEE,4,1,1
007804500692198|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
007900971092252|83001|1,TT..,....,TT..-....,2,2,0
007901033891224|79001|2,EETT,EEEE,EETT-EEEE,4,2,1
007904921893606|82001|2,TTTT,....,TTTT-....,4,4,0
007904924893600|82001|1,TTTT,....,TTTT-....,4,4,0
007907340590576|83001|3,TT..,....,TT..-....,2,2,0
007908694893992|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
007908694893992|82001|2,TTTT,....,TTTT-....,4,4,0
008045700085671|81001|2,TT..,....,TT..-....,2,2,0
008097142380270|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008412300994697|80001|1,NTTT,TTTT,NTTT-TTTT,4,3,1
008412300994697|83001|2,NNTE,....,NNTE-....,4,1,2
008522590998290|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
008523860988290|83001|1,T...,....,T...-....,1,1,0
008524310998290|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008603945994951|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008606574992557|83001|2,T...,....,T...-....,1,1,0
008609970995621|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008900861977487|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008900861977487|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
008902082990765|79001|3,TTTT,....,TTTT-....,4,4,0
008902491999022|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008902491999022|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
008904855992830|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
008906951999682|82001|1,TTTT,....,TTTT-....,4,4,0
008909231994729|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
009010163120490|83001|2,TTNT,....,TTNT-....,4,3,2
009017304098421|81001|2,T.T.,.TTT,T.T.-.TTT,2,2,0
009026123140620|81001|2,TTTN,TTTN,TTTN-TTTN,4,3,1
009084280982694|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
009204570993999|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
009393570997490|80001|2,TTTT,....,TTTT-....,4,4,0
009661790692196|83001|2,TT..,....,TT..-....,2,2,0
009664140972196|80001|3,TTTN,....,TTTN-....,4,3,1
009664840782196|81001|1,TTTT,NNNN,TTTT-NNNN,4,4,0
009665200782196|83001|2,TTTT,....,TTTT-....,4,4,0
009665400982196|81001|1,NTNN,....,NTNN-....,4,1,2
009833570694594|83001|2,TTTT,....,TTTT-....,4,4,0
009931190698994|83001|2,TTTT,....,TTTT-....,4,4,0
009933760978994|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
009934520998994|81001|2,TT..,TTTT,TT..-TTTT,2,2,0
010010380990999|81001|2,TTTT,T...,TTTT-T...,4,4,0
010013460980999|81001|3,TN..,....,TN..-....,2,1,1
010013460980999|83001|1,TTTT,....,TTTT-....,4,4,0
010015310990999|83001|3,TTT.,....,TTT.-....,3,3,0
010053139120650|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
010053139120650|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
010061123240120|82001|2,TTTT,T...,TTTT-T...,4,4,0
010061305075841|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
010081092909967|81001|2,NTTN,....,NTTN-....,4,2,2
010192012504960|83001|1,TTTT,....,TTTT-....,4,4,0
010220760944896|80001|3,TTTT,TTTT,TTTT-TTTT,4,4,0
010260049080084|82001|2,NTTN,....,NTTN-....,4,2,2
010610904480161|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
010634280695991|87001|2,T...,....,T...-....,1,1,0
010702092557969|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
010724580697695|82001|2,TTTT,....,TTTT-....,4,4,0
010724670967695|81001|2,TTTT,NNNN,TTTT-NNNN,4,4,0
010800061652219|80001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
010842072546969|79001|2,TTTT,T...,TTTT-T...,4,4,0
010910910630082|82001|2,TTTT,....,TTTT-....,4,4,0
010917094151689|80001|1,TTTT,EEE.,TTTT-EEE.,4,4,0
010932062528964|79001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
010950342990182|79001|1,TNNN,NNNN,TNNN-NNNN,4,1,1
010977075123729|83001|2,EE.T,....,EE.T-....,3,1,1
010977092333999|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
010987092943479|81001|1,TNNN,NTNT,TNNN-NTNT,4,1,1
010987092943479|81001|2,NTTT,TNEN,NTTT-TNEN,4,3,1
010992072507969|79001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
011013126260000|80001|2,TTTT,UUTT,TTTT-UUTT,4,4,0
011014126060000|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
011016126180000|83001|1,T...,....,T...-....,1,1,0
011033107380000|82001|1,TTTT,....,TTTT-....,4,4,0
011175850982996|83001|1,T...,....,T...-....,1,1,0
011214110997494|80001|1,TTTT,EENN,TTTT-EENN,4,4,0
011293180697799|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
011294520997799|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
011294520997799|83001|1,TTTT,....,TTTT-....,4,4,0
011294520997799|83001|3,TTTT,....,TTTT-....,4,4,0
011295260697799|80001|1,EETE,EEEE,EETE-EEEE,4,1,2
011341520991297|83001|2,TTTT,....,TTTT-....,4,4,0
011343660961297|83001|2,TTT.,....,TTT.-....,3,3,0
011343660961297|83001|3,TTT.,....,TTT.-....,3,3,0
011343660961297|83001|4,TTT.,....,TTT.-....,3,3,0
011395569600693|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
011483340012306|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
011740540924895|81001|1,TTTU,TTTT,TTTU-TTTT,4,3,1
011741190994895|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
011741590797694|81001|2,EENT,EEEE,EENT-EEEE,4,1,2
011743230984895|80001|3,ENTN,NNNN,ENTN-NNNN,4,1,3
011743250014805|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
011743360994895|83001|1,TTTT,....,TTTT-....,4,4,0
011800340995392|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
011804800695342|83001|1,T...,....,T...-....,1,1,0
012311780699894|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
012313860969894|81001|3,TTEE,EEEE,TTEE-EEEE,4,2,1
012772250982692|83001|3,TTTN,....,TTTN-....,4,3,1
012772750972692|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
012772750972692|82001|1,TTTT,....,TTTT-....,4,4,0
012772750972692|82001|2,TTTT,....,TTTT-....,4,4,0
012773660962692|80001|3,TTTT,....,TTTT-....,4,4,0
012775260012602|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
012775560692692|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
012775560692692|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
012842830781193|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
012893560014201|82001|1,TTTT,....,TTTT-....,4,4,0
012893560014201|82001|2,TTTT,....,TTTT-....,4,4,0
013003760900114|83001|1,TTTT,....,TTTT-....,4,4,0
013003760900114|83001|2,TTTT,....,TTTT-....,4,4,0
013007115240510|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
013018083409665|82001|2,TTTT,TT..,TTTT-TT..,4,4,0
013043052909773|82001|1,TTTT,NNN.,TTTT-NNN.,4,4,0
013270149400674|82001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
013291890115609|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
013294560995699|83001|1,TTTT,....,TTTT-....,4,4,0
013392659300833|81001|2,TTTT,....,TTTT-....,4,4,0
013392659300833|82001|1,TTTT,....,TTTT-....,4,4,0
013480025908996|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
013480025908996|81001|1,EE.T,EEEE,EE.T-EEEE,3,1,1
013602180990698|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
013604770690698|80001|2,ETEE,UUUU,ETEE-UUUU,4,1,2
013823160692799|82001|1,TTTT,EEEE,TTTT-EEEE,4,4,0
013823160692799|83001|1,TTTT,....,TTTT-....,4,4,0
013825750792799|82001|1,TTTT,....,TTTT-....,4,4,0
014023104075951|83001|1,TTTT,....,TTTT-....,4,4,0
014057148460190|82001|1,TTTT,....,TTTT-....,4,4,0
014089145280180|83001|1,T...,....,T...-....,1,1,0
014091230014700|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
014406460500144|82001|1,TTTN,EEEE,TTTN-EEEE,4,3,1
014490380778096|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
014491100778096|83001|2,TTTT,....,TTTT-....,4,4,0
014492330118006|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
014492540798096|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
014493340978096|80001|1,TT.T,TNTT,TT.T-TNTT,3,3,0
014544048909596|81001|1,T...,....,T...-....,1,1,0
014591390990195|80001|1,TTNT,TTTT,TTNT-TTTT,4,3,2
014591390990195|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
014591390990195|83001|2,TTTT,....,TTTT-....,4,4,0
014763870010307|80001|1,TTTT,....,TTTT-....,4,4,0
014934280985681|81001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
015107780800167|83001|1,TTNN,....,TTNN-....,4,2,1
015252086909690|79001|4,TEEE,EEEE,TEEE-EEEE,4,1,1
015401002909176|87001|2,T...,....,T...-....,1,1,0
015542350997393|80001|1,TTTT,....,TTTT-....,4,4,0
015544580697393|83001|2,TTTT,....,TTTT-....,4,4,0
015544760697393|83001|2,TT..,....,TT..-....,2,2,0
015545250987393|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
015572860019706|82001|1,TTTT,....,TTTT-....,4,4,0
015591820988590|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
015604580995399|83001|2,TTTT,....,TTTT-....,4,4,0
015752430690944|83001|1,NNTT,....,NNTT-....,4,2,1
015754840750994|82001|1,TTTT,....,TTTT-....,4,4,0
015755300970994|82001|2,NNNT,TT..,NNNT-TT..,4,1,1
015842360999696|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
015842360999696|82001|3,TTTT,TT..,TTTT-TT..,4,4,0
015930350996592|83001|2,NTTT,....,NTTT-....,4,3,1
015950590991493|81001|4,TTTT,EEEE,TTTT-EEEE,4,4,0
015953430691443|81001|1,TTTT,....,TTTT-....,4,4,0
015953850981493|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
016092500993199|81001|1,TTTT,T..E,TTTT-T..E,4,4,0
016092560693199|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
016094250013109|87001|1,T...,....,T...-....,1,1,0
016094850113109|82001|1,TTTT,....,TTTT-....,4,4,0
016098559600890|80001|1,TTTT,TTT.,TTTT-TTT.,4,4,0
016143330978293|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
016143830968293|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
016460260969492|82001|2,TTTT,TTE.,TTTT-TTE.,4,4,0
016460660959472|81001|2,TNNN,EEET,TNNN-EEET,4,1,1
016460860019402|83001|1,T...,....,T...-....,1,1,0
016501120970897|83001|1,TTTT,....,TTTT-....,4,4,0
016520280788498|82001|1,TTTT,TTT.,TTTT-TTT.,4,4,0
016520280788498|82001|2,TTTT,TTT.,TTTT-TTT.,4,4,0
016520590798498|83001|1,TTT.,....,TTT.-....,3,3,0
016559460969304|82001|2,TTTT,....,TTTT-....,4,4,0
016644880985594|83001|2,T...,....,T...-....,1,1,0
016694400694749|82001|1,TTTT,T...,TTTT-T...,4,4,0
016710860985093|83001|1,T...,....,T...-....,1,1,0
016711320975093|82001|2,TTTT,....,TTTT-....,4,4,0
016732870017309|80001|2,TTTT,EEEE,TTTT-EEEE,4,4,0
016824500693399|83001|1,ETTE,....,ETTE-....,4,2,2
016844200690992|87001|2,T...,....,T...-....,1,1,0
016893560992597|83001|1,TTTT,....,TTTT-....,4,4,0
016893560992597|83001|2,TTTT,....,TTTT-....,4,4,0
017015504077841|83001|1,TTTT,....,TTTT-....,4,4,0
017015504077841|83001|2,TTTT,....,TTTT-....,4,4,0
017059126480900|79001|1,TTET,EEEE,TTET-EEEE,4,3,2
017434180998796|81001|1,TTTT,....,TTTT-....,4,4,0
017434480018706|83001|2,TTTT,....,TTTT-....,4,4,0
017612170993897|81001|2,TTTT,T.T.,TTTT-T.T.,4,4,0
017834580999199|80001|2,TEEE,EEEE,TEEE-EEEE,4,1,1
018023101140060|82001|1,TTTT,T...,TTTT-T...,4,4,0
018041172460760|82001|2,TTTT,....,TTTT-....,4,4,0
018151870984894|79001|1,TTTN,NNNN,TTTN-NNNN,4,3,1
018198229700877|82001|1,NTTT,TTNN,NTTT-TTNN,4,3,1
018391259100544|80001|2,TTTT,TTTN,TTTT-TTTN,4,4,0
018391259100544|81001|1,TTTT,E...,TTTT-E...,4,4,0
018392390994292|80001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
018592510698795|81001|3,TTTT,TTTT,TTTT-TTTT,4,4,0
019034188260450|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
019094185580620|80001|1,T...,....,T...-....,1,1,0
019094185580620|82001|1,TTTT,....,TTTT-....,4,4,0
019094185580620|82001|2,TTTT,....,TTTT-....,4,4,0
019098829900861|80001|2,TTTT,....,TTTT-....,4,4,0
019098829900861|82001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
019341130971698|82001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
019344120691698|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
019344880981698|79001|1,TTTT,....,TTTT-....,4,4,0
019394959600508|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
019394959600508|83001|3,EUTT,....,EUTT-....,4,2,2
019400364410961|80001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
019400364410961|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
019400364410961|81001|2,TTTT,TTTT,TTTT-TTTT,4,4,0
019500710693096|82001|2,TTTT,....,TTTT-....,4,4,0
020052125140160|80001|1,TTUN,....,TTUN-....,4,2,2
020067182130820|82001|1,TTTT,TT..,TTTT-TT..,4,4,0
020094799100919|87001|2,T...,....,T...-....,1,1,0
020198609900934|87001|2,T...,....,T...-....,1,1,0
020212430691941|83001|2,TTTT,....,TTTT-....,4,4,0
020215710691991|81001|2,NNTT,NNNT,NNTT-NNNT,4,2,1
020241470019604|80001|1,TTTT,EETT,TTTT-EETT,4,4,0
020244120979694|81001|1,TTTT,TTTT,TTTT-TTTT,4,4,0
