group,dlog
stayer,-40.55
stayer,-150.41
stayer,19.78
stayer,-60.03
stayer,15.42
stayer,3.92
stayer,6.9
stayer,-3.08
stayer,0.0
stayer,-32.54
stayer,24.37
stayer,6.46
stayer,32.85
stayer,8.7
stayer,4.26
stayer,2.35
stayer,10.54
stayer,0.0
stayer,51.08
stayer,14.95
stayer,176.77
stayer,28.31
stayer,12.36
stayer,0.0
stayer,1.94
stayer,31.02
stayer,-11.51
stayer,-22.31
stayer,-272.13
stayer,-102.45
stayer,1.08
stayer,5.56
stayer,0.0
stayer,160.94
stayer,5.74
stayer,109.86
stayer,90.83
stayer,-12.78
stayer,-353.47
stayer,-37.33
stayer,7.83
stayer,10.54
stayer,-40.55
stayer,-6.9
stayer,0.0
stayer,0.0
stayer,0.0
stayer,12.01
stayer,2.32
stayer,2.82
stayer,1.53
stayer,17.33
stayer,42.05
stayer,8.19
stayer,22.31
stayer,-0.18
stayer,-15.42
stayer,-31.36
stayer,8.96
stayer,74.77
stayer,-142.71
stayer,101.66
stayer,-6.06
stayer,0.0
stayer,-0.2
stayer,-1.48
stayer,-12.78
stayer,9.53
stayer,69.31
stayer,2.35
stayer,-41.32
stayer,-103.32
stayer,-31.67
stayer,-144.82
stayer,-27.44
stayer,29.43
stayer,-33.65
stayer,-18.61
stayer,-9.53
stayer,0.0
stayer,-6.67
stayer,-4.08
stayer,-140.88
stayer,-7.7
stayer,5.56
stayer,51.08
stayer,-18.23
stayer,0.0
stayer,17.59
stayer,15.68
stayer,-8.7
stayer,44.18
stayer,54.52
stayer,7.92
stayer,109.86
stayer,16.13
stayer,58.78
stayer,-4.88
stayer,144.82
stayer,39.59
stayer,10.54
stayer,-706.19
stayer,129.93
stayer,8.7
stayer,-6.45
stayer,8.7
stayer,18.23
stayer,35.67
stayer,-17.18
stayer,33.65
stayer,28.77
stayer,65.61
stayer,5.72
stayer,0.0
stayer,-18.23
stayer,-2.41
stayer,-12.14
stayer,2.47
stayer,-5.83
stayer,1.9
stayer,0.0
stayer,-0.37
stayer,2.82
stayer,-56.91
stayer,-1.98
stayer,279.73
stayer,-53.6
stayer,40.08
stayer,4.65
stayer,-4.88
stayer,96.32
stayer,0.0
stayer,1.16
stayer,-79.85
stayer,0.0
stayer,-2.06
stayer,4.88
stayer,28.03
stayer,13.35
stayer,-27.21
stayer,42.74
stayer,47.0
stayer,0.0
stayer,2.02
stayer,-12.41
stayer,3.92
stayer,-28.77
stayer,-31.55
stayer,1.8
stayer,9.53
stayer,64.87
stayer,9.53
stayer,0.0
stayer,4.73
stayer,2.82
stayer,90.41
stayer,-91.63
stayer,-13.35
stayer,0.0
stayer,69.31
stayer,-138.67
stayer,0.0
stayer,18.23
stayer,11.78
stayer,-2.02
stayer,-10.79
stayer,0.0
stayer,230.26
stayer,-8.7
stayer,6.16
stayer,0.0
stayer,2.82
stayer,4.73
stayer,74.19
stayer,1.89
stayer,-3.45
stayer,18.23
stayer,-13.58
stayer,-14.31
stayer,2.02
stayer,24.41
stayer,54.16
stayer,-38.99
stayer,-672.54
stayer,-16.4
stayer,4.88
stayer,94.0
stayer,25.56
stayer,65.06
stayer,-22.31
stayer,10.01
stayer,201.49
stayer,-222.25
stayer,1.47
stayer,-29.38
stayer,5.0
stayer,27.19
stayer,1.31
stayer,-61.09
stayer,47.0
stayer,-17.44
stayer,25.13
stayer,288.34
stayer,0.0
stayer,4.7
stayer,-5.56
stayer,18.23
stayer,35.67
stayer,2.25
stayer,0.0
stayer,-317.81
stayer,-255.47
stayer,8.46
stayer,5.54
stayer,17.44
stayer,17.77
stayer,10.01
stayer,-18.23
stayer,-4.45
stayer,-1.01
stayer,17.68
stayer,15.42
stayer,53.9
stayer,-14.66
stayer,33.65
stayer,-46.99
stayer,3.28
stayer,-1.9
stayer,3.56
stayer,53.41
stayer,-3.28
stayer,-43.67
stayer,-2.82
stayer,12.78
stayer,-2.99
stayer,-13.35
stayer,-108.74
stayer,120.4
stayer,13.35
stayer,0.0
stayer,2.2
stayer,26.57
stayer,42.2
stayer,-66.14
stayer,307.58
stayer,-33.65
stayer,70.56
stayer,-8.7
stayer,-14.31
stayer,0.0
stayer,10.92
stayer,18.23
stayer,-22.31
stayer,-37.22
stayer,3.63
stayer,-84.72
stayer,0.0
stayer,6.45
stayer,-93.43
stayer,7.76
stayer,10.54
stayer,2.82
stayer,149.29
stayer,32.05
stayer,-49.99
stayer,14.31
stayer,99.54
stayer,-37.89
stayer,-49.64
stayer,-8.96
stayer,-1.31
stayer,-138.63
stayer,25.13
stayer,8.16
stayer,-4.08
stayer,-4.55
stayer,11.78
stayer,-21.91
stayer,-168.14
stayer,122.3
stayer,-0.6
stayer,13.61
stayer,18.23
stayer,83.62
stayer,54.16
stayer,207.94
stayer,61.31
stayer,-45.44
stayer,11.44
stayer,-1.5
stayer,0.0
stayer,-1.73
stayer,-57.33
stayer,2.74
stayer,-31.96
stayer,-28.77
stayer,0.89
stayer,-24.51
stayer,12.52
stayer,-0.91
stayer,5.94
stayer,275.68
stayer,-17.17
stayer,0.0
stayer,-30.01
stayer,37.47
stayer,11.78
stayer,12.78
stayer,-5.13
stayer,-2.11
stayer,2.11
stayer,0.0
stayer,2.53
stayer,37.27
stayer,-8.22
stayer,1.72
stayer,13.35
stayer,0.0
stayer,-30.23
stayer,-0.29
stayer,24.12
stayer,4.35
stayer,-22.31
stayer,-6.5
stayer,14.76
stayer,-31.1
stayer,-0.6
stayer,-43.53
stayer,40.55
stayer,59.49
stayer,4.88
stayer,1.44
stayer,17.44
stayer,-31.59
stayer,104.98
stayer,-22.31
stayer,32.54
stayer,11.78
stayer,0.0
stayer,69.31
stayer,-22.31
stayer,0.0
stayer,1.6
stayer,55.96
stayer,-4.67
stayer,0.0
stayer,122.64
stayer,15.08
stayer,6.45
stayer,28.77
stayer,6.06
stayer,-81.09
stayer,-9.53
stayer,-40.55
stayer,-11.13
stayer,179.18
stayer,4.9
stayer,43.08
stayer,-11.33
stayer,-4.0
stayer,30.16
stayer,105.08
stayer,-201.49
stayer,0.0
stayer,-3.92
stayer,-35.67
stayer,10.86
stayer,49.25
stayer,15.6
stayer,-1.98
stayer,112.79
stayer,18.98
stayer,39.88
stayer,-8.7
stayer,-28.77
stayer,-6.35
stayer,2.74
stayer,2.53
stayer,-50.44
stayer,3.51
stayer,-1.05
stayer,27.72
stayer,-105.61
stayer,2.41
