PERIDNUM,MARZO,leaver,OCCUP,PEIOOCC,leaver_MARCH
0534097407411381701102,1,,2310.0,2310.0,0.0
0534570357157991801101,0,,,,
0534574404501251601101,0,1.0,,,
0534620653157041501101,1,0.0,2310.0,2310.0,0.0
0535050187248501701101,1,,2310.0,2310.0,0.0
0538694704001751701101,0,,2310.0,2310.0,
0540180134146261601101,0,0.0,,,
0540390785169181801102,0,,,,
0540530605165551701101,0,,,,
0540830504114641701102,1,,2300.0,2300.0,0.0
0546290964184341701103,1,,2310.0,2310.0,0.0
0550091184714501601102,0,0.0,,,
0551670116119321701102,0,,,,
0552721130500151701102,0,,,,
0554060160503701711101,0,,,,
0559030151597701501101,1,0.0,2310.0,2310.0,0.0
0560401031153841601101,0,,,,
0573979606301281701101,1,,2300.0,2300.0,0.0
0577010160569601511102,1,,,,
0584236001211501701101,0,,2300.0,2300.0,
0586877601331161601101,0,,,,
0587336410400161601101,0,0.0,2310.0,2310.0,
0588635109101501511101,1,0.0,2330.0,2330.0,0.0
0595929907311291501101,1,0.0,2310.0,2310.0,0.0
0600380616182551701102,0,,,,
0600427605101161511101,1,,,,
0600960637192961701102,1,,3602.0,2300.0,-1.0
0602319750218161811101,0,,,,
0603442110402141501103,1,0.0,2300.0,2300.0,0.0
0604434670817601501102,1,0.0,2310.0,2310.0,0.0
0604950617143401601101,0,1.0,,,
0610008050419321701101,0,,2310.0,2310.0,
0610620523175801701103,0,,,,
0610820293137931601101,0,0.0,,,
0610890629127571501101,1,0.0,2310.0,2310.0,0.0
0610890629127571501102,1,0.0,2310.0,2310.0,0.0
0612260697106501501102,1,0.0,2330.0,2330.0,0.0
0614814900301631701101,0,,,,
0620330629157571701102,1,,2310.0,2310.0,0.0
0620380473132511801102,0,,,,
0624424702001351611101,0,,,,
0624434702001451501102,1,0.0,2310.0,2310.0,0.0
0626444206401171701102,1,,2310.0,2310.0,0.0
0630090697146501601101,0,,,,
0630338600401411811101,0,,,,
0630610963195301601102,0,0.0,,,
0630620783199811601101,0,1.0,4510.0,4600.0,
0630750637132961701101,1,,2310.0,2320.0,0.0
0630950235110621701101,1,,2320.0,2320.0,0.0
0631225901021761501101,1,0.0,2310.0,2310.0,0.0
0631740023114841801101,0,,,,
0632250884161091501102,1,0.0,2310.0,2310.0,0.0
0637225600201171601102,0,0.0,,,
0639753301331421701102,0,,,,
0640020119153441701101,1,,2310.0,2310.0,0.0
0641530145120821801102,0,,,,
0643699004401181601101,0,,,,
0643699004401181601103,0,1.0,,,
0650240637142961601102,0,0.0,,,
0653728201521241711101,1,,2310.0,2310.0,0.0
0657499402401351501104,1,0.0,2310.0,2310.0,0.0
0658343000001111501101,1,1.0,9600.0,9600.0,-1.0
0659648602011261801102,0,,,,
0659668602401581701102,1,,2310.0,2310.0,0.0
0660721054170301801101,0,,,,
0665911504051341501101,1,0.0,2310.0,2310.0,0.0
0665911504051341501102,1,0.0,2320.0,2320.0,0.0
0669571508001761601101,0,0.0,,,
0671316408311461601101,0,0.0,,,
0676492110500111601101,0,0.0,,,
0678348420100111801102,0,,,,
0678348420100111801104,0,,,,
0679177908411191601101,0,,,,
0689815603221551701103,0,,,,
0694448201211211501101,1,0.0,2310.0,2310.0,0.0
0696226205201151711102,0,,,,
0700530287167741501102,1,,,,
0700530287167741501103,1,,,,
0700530305155331711101,0,,2310.0,2310.0,
0700610145117741511102,1,1.0,2360.0,2360.0,-1.0
0701710990714301701101,1,,2310.0,2310.0,0.0
0701890414001731701101,1,,2310.0,2310.0,0.0
0702699403021861701101,0,,,,
0703211610111301601102,0,0.0,2310.0,2310.0,
0703211610111301801101,0,,,,
0703745970519501601102,0,0.0,,,
0704390169143221501102,1,,,,
0706593302141321601101,0,0.0,,,
0706593302141321601102,0,0.0,,,
0707040340811801501101,1,,,,
0710810170189231701105,1,,2300.0,2300.0,0.0
0710820924139331601102,0,0.0,2310.0,2310.0,
0711760961155801711101,0,,,,
0713940577151521601102,0,0.0,,,
0714005022612471501102,1,,,,
0714670577151521701101,0,,,,
0720260299128001811101,0,,,,
0720530720129901511102,1,0.0,0.0,2310.0,-1.0
0728551304321661601102,0,,,,
0729008108401601711101,0,,2310.0,2310.0,
0730440169143221701102,1,,2310.0,2310.0,0.0
0730450590148861501101,1,0.0,2310.0,2310.0,0.0
0730750019173931701101,1,,2310.0,2310.0,0.0
0730940622137121601101,0,,,,
0732170634160581801101,0,,,,
0736314809201551601101,0,0.0,,,
0740030041159931611102,0,,,,
0740250005103341611102,0,1.0,,,
0740450862182241701101,1,,2310.0,2310.0,0.0
0740450862182241701102,1,,2310.0,2310.0,0.0
0740520230102881511102,1,0.0,2310.0,2310.0,0.0
0740630112167541701101,1,,2310.0,2310.0,0.0
0741086306201051711101,1,,2310.0,2310.0,0.0
0741820019163931801102,0,,,,
0744067603301561701102,1,,2310.0,2310.0,0.0
0747124409001211701101,1,,2310.0,2310.0,0.0
0747144409321361501104,1,0.0,2310.0,2310.0,0.0
0747164409401051711102,0,,,,
0750250503139891601101,0,0.0,20.0,2320.0,
0750250568165341711102,0,,,,
0750630849154731701102,0,,,,
0750830720149901501101,1,0.0,8140.0,8140.0,-1.0
0750830720149901501102,1,0.0,2014.0,2006.0,-1.0
0750950099119471501101,1,0.0,2300.0,2300.0,0.0
0751010622167121701102,0,,,,
0751120315117881501101,1,,,,
0751580286161831501101,1,0.0,2320.0,2320.0,0.0
0751590954105101501102,1,0.0,2310.0,2310.0,0.0
0757227105121701501101,1,1.0,230.0,230.0,-1.0
0757237105301441701102,1,,2310.0,2310.0,0.0
0757267105001591701101,1,,2310.0,2310.0,0.0
0757297105141151501101,1,0.0,2310.0,2310.0,0.0
0759026606331121701102,1,,2310.0,2310.0,0.0
0759056606331421701101,1,,2320.0,2320.0,0.0
0760101038042001701101,0,,,,
0763964205211001801102,0,,,,
0766122808311181701102,1,,2330.0,2330.0,0.0
0776667205011011701102,1,,2320.0,2320.0,0.0
0776997802201111701102,1,,2310.0,2310.0,0.0
0777514500001561701101,1,,2310.0,2310.0,0.0
0779653101301541501101,1,,,,
0779670506301701511101,1,1.0,2360.0,2360.0,-1.0
0784079640202141701101,1,,2310.0,2310.0,0.0
0786917103401601711102,0,,,,
0789048605401881501101,1,0.0,2310.0,2310.0,0.0
0800330358188781701101,1,,2310.0,2310.0,0.0
0800590266164581601104,0,0.0,,,
0800610298265231701101,1,,2300.0,2300.0,0.0
0800760358188781801101,0,,,,
0800870069117591711102,0,,,,
0800948200017811701102,0,,2310.0,2310.0,
0805656800311501701101,0,,,,
0805860611024711711101,1,,2310.0,2310.0,0.0
0809798530200151501101,1,,,,
0810101096431191701102,1,,2310.0,2310.0,0.0
0810180229170231701102,0,,2310.0,2310.0,
0810570069127591501101,1,,,,
0810830682138741501102,1,0.0,2310.0,2310.0,0.0
0812260404125851701102,0,,,,
0816480358178781601101,0,0.0,2320.0,2320.0,
0819250800700151701101,1,,2310.0,2310.0,0.0
0819353107401561601102,0,0.0,2310.0,2330.0,
0820180662169721501101,1,0.0,2310.0,2310.0,0.0
0820180662169721501102,1,0.0,2300.0,2300.0,0.0
0820231023213011701102,0,,,,
0820310511122741601102,0,0.0,,,
0820520267100471601101,0,0.0,,,
0820630178170021501102,1,1.0,2060.0,2060.0,-1.0
0820631106334181501101,1,0.0,2310.0,2310.0,0.0
0820781107321561701102,0,,,,
0820820739172121601102,0,0.0,,,
0821110221109141801102,0,,,,
0829348502201161501102,1,0.0,2310.0,2310.0,0.0
0829358502501561711101,0,,,,
0831510442118561801101,0,,,,
0837284701101081701101,0,,,,
0841830691177261501101,1,0.0,2310.0,2310.0,0.0
0843572505501801701101,1,,2320.0,2320.0,0.0
0852070143169921701101,0,,,,
0866524401001391601101,0,0.0,,,
0871902402501431701101,1,,2310.0,2310.0,0.0
0876599504411821701102,0,,,,
0889268109201461601102,0,0.0,,,
0890418505001681601102,0,0.0,,,
0900010832159271611101,0,0.0,,,
0900620636151541611101,0,0.0,,,
0900950158156801501101,1,0.0,2310.0,2310.0,0.0
0904760453145111501101,1,0.0,2300.0,2300.0,0.0
0905640453145111601101,0,0.0,,,
0906640713190721701102,0,,,,
0907447120718811501102,1,,2310.0,2310.0,0.0
0909047802101931601101,0,0.0,,,
0910040109021161501101,1,0.0,2310.0,2310.0,0.0
0910610246164871711101,0,,2310.0,2310.0,
0910630633173261701101,1,,2300.0,2300.0,0.0
0910750001184541701102,0,,,,
0913258207001411701101,0,,2310.0,2310.0,
0915757807501551601101,0,,,,
0916398203301191701101,1,,2320.0,2320.0,0.0
0918008048626071701102,1,,2310.0,2310.0,0.0
0920020776185421711102,0,,,,
0920030043116351701101,0,,,,
0930090852109051711101,0,,,,
0930530257172871701101,0,,,,
0930545107511361611101,0,,,,
0931310158166801701101,0,,,,
0939185830101101801101,0,,,,
0940520985180971701101,0,,,,
0940530366168791711101,0,,,,
0940530366168791711102,0,,,,
0940610852129051701101,1,,2310.0,2310.0,0.0
0940820490110581711101,0,,,,
0940820490110581711102,0,,,,
0940830029181361601102,0,1.0,,,
0940950635186791501102,1,1.0,440.0,2555.0,-1.0
0948273307301271701102,1,,2310.0,2310.0,0.0
0950090526140571711101,0,,,,
0950370501165591501101,1,0.0,2310.0,2310.0,0.0
0950520009161781701101,1,,2310.0,2310.0,0.0
0953086703101031501101,1,0.0,2330.0,2330.0,0.0
0958828209201361601102,0,0.0,2310.0,2310.0,
0960501094334941501102,1,0.0,2310.0,2310.0,0.0
0969492606301191701102,0,,2300.0,2300.0,
0980186202201021711101,1,,2310.0,2310.0,0.0
0985865702401401501102,1,0.0,2310.0,2310.0,0.0
0986551100011021701102,1,,2300.0,2300.0,0.0
0986551100011021701106,1,,2310.0,2300.0,0.0
1000009900011611701101,1,,2310.0,2310.0,0.0
1000066005413041611102,0,0.0,,,
1001010715063021601101,0,0.0,,,
1001210711746741711101,0,,,,
1003303040716451601102,0,0.0,,,
