code,label,n_asec_PEIOOCC,n_monthly_2005_07
3110,Physician assistants,663.0,1449.0
3120,Podiatrists,26.0,186.0
3130,,,42890.0
3140,Audiologists,89.0,290.0
3150,Occupational therapists,695.0,1461.0
3160,Physical therapists,1475.0,3280.0
3200,Radiation therapists,75.0,233.0
3210,Recreational therapists,55.0,318.0
3220,Respiratory therapists,500.0,1540.0
3230,Speech-language pathologists,863.0,1933.0
3240,,,1755.0
3245,"Therapists, all other",1247.0,
3250,Veterinarians,439.0,1200.0
3255,Registered nurses,16507.0,
3256,Nurse anesthetists,167.0,
3258,Nurse practitioners,1205.0,
3260,(sin etiqueta limpia — código SOC 29-1199),81.0,294.0
3261,Acupuncturists,75.0,
3270,"Healthcare diagnosing or treating practitioners, all other",42.0,
3300,Clinical laboratory technologists and technicians,1734.0,5481.0
3310,Dental hygienists,1068.0,2463.0
3320,(sin etiqueta limpia — código SOC 29-2030),778.0,4775.0
3321,Cardiovascular technologists and technicians,141.0,
3322,Diagnostic medical sonographers,263.0,
3323,Radiologic technologists and technicians,717.0,
3324,Magnetic resonance imaging technologists,146.0,
3330,Nuclear medicine technologists and medical dosimetrists,99.0,
3400,(sin etiqueta limpia — código SOC 29-2041),467.0,2431.0
3401,Emergency medical technicians,406.0,
3402,Paramedics,284.0,
3410,,,7009.0
3420,(sin etiqueta limpia — código SOC 29-2050),1458.0,
3421,Pharmacy technicians,982.0,
3422,Psychiatric technicians,279.0,
3423,Surgical technologists,307.0,
3424,Veterinary technologists and technicians,350.0,
3430,Dietetic technicians and ophthalmic medical technicians,196.0,
3500,Licensed practical and licensed vocational nurses,3096.0,9101.0
3510,(sin etiqueta limpia — código SOC 29-2071),411.0,1861.0
3515,Medical records specialists,592.0,
3520,"Opticians, dispensing",263.0,886.0
3530,,,1849.0
3535,(sin etiqueta limpia — código SOC 29-2090),306.0,
3540,(sin etiqueta limpia — código SOC 29-9000),302.0,999.0
3545,Miscellaneous health technologists and technicians,430.0,
3550,Other healthcare practitioners and technical occupations,270.0,
3600,(sin etiqueta limpia — código SOC 31-1010),4853.0,32606.0
3601,Home health aides,1608.0,
3602,Personal care aides,4406.0,
3603,Nursing assistants,3875.0,
3605,Orderlies and psychiatric aides,139.0,
