code,n_asec_PEIOOCC,label
4420,191,"Ushers, lobby attendants, and ticket takers"
4430,486,
4435,630,Other entertainment attendants and related workers
4460,32,
4461,52,"Embalmers, crematory operators and funeral attendants"
4465,199,"Morticians, undertakers, and funeral arrangers"
4500,581,Barbers
4510,3741,"Hairdressers, hairstylists, and cosmetologists"
4520,767,
4521,749,Manicurists and pedicurists
4522,261,Skincare specialists
4525,72,Other personal appearance workers
4530,407,"Baggage porters, bellhops, and concierges"
4540,361,Tour and travel guides
4600,6363,Childcare workers
4610,3552,
4620,948,
4621,595,Exercise trainers and group fitness instructors
4622,405,Recreation workers
4640,196,Residential advisors
4650,401,
4655,378,"Personal care and service workers, all other"
4700,15899,First-Line supervisors of retail sales workers
4710,5870,First-Line supervisors of non-retail sales workers
4720,16148,Cashiers
4740,455,Counter and rental clerks
4750,678,Parts salespersons
4760,14852,Retail salespersons
4800,791,Advertising sales agents
4810,3001,Insurance sales agents
4820,988,"Securities, commodities, and financial services sales agents"
4830,354,Travel agents
4840,2534,"Sales representatives of services, except advertising, insurance, financial services, and travel"
4850,5685,"Sales representatives, wholesale and manufacturing"
4900,243,"Models, demonstrators, and product promoters"
4920,4937,Real estate brokers and sales agents
4930,194,Sales engineers
4940,247,Telemarketers
4950,675,"Door-to-door sales workers, news and street vendors, and related workers"
4965,1598,"Sales and related workers, all other"
5000,6710,First-Line supervisors of office and administrative support workers
5010,82,"Switchboard operators, including answering service"
5020,149,Telephone operators
5030,22,
5040,8,"Communications equipment operators, all other"
5100,577,Bill and account collectors
5110,2244,Billing and posting clerks
5120,5922,"Bookkeeping, accounting, and auditing clerks"
5130,37,Gambling cage workers
5140,654,Payroll and timekeeping clerks
5150,140,Procurement clerks
5160,1464,Tellers
5165,541,"Financial clerks, all other"
5200,16,Brokerage clerks
5220,476,"Court, municipal, and license clerks"
5230,211,"Credit authorizers, checkers, and clerks"
5240,12944,Customer service representatives
5250,396,"Eligibility interviewers, government programs"
5260,858,File clerks
5300,656,"Hotel, motel, and resort desk clerks"
5310,903,"Interviewers, except eligibility and loan"
5320,393,"Library assistants, clerical"
5330,595,Loan interviewers and clerks
5340,104,New accounts clerks
5350,561,Order clerks
