HRMONTH,teacher_0,teacher_1,employed_0,employed_1,PWSSWGT_0
4,0,0,0,1,7147.4967
4,0,0,1,1,6624.8067
4,0,0,1,1,6459.9552
4,0,0,0,0,6159.4028
4,0,0,0,0,3837.4042
4,0,0,0,0,3766.8191
4,0,0,0,0,4114.5132
4,0,0,0,0,4855.0556
4,0,0,0,0,4133.349
4,0,0,0,0,3980.3748
4,0,0,0,0,3980.3748
4,0,0,0,0,3719.8482
4,0,0,0,0,4331.9654
4,0,0,0,0,3766.8191
4,0,0,1,1,4925.4469
4,0,0,1,1,5337.1136
4,0,0,1,1,6134.0868
4,0,0,1,1,3955.7458
4,0,0,1,1,4317.8641
4,0,0,0,0,4349.7169
4,0,0,0,0,3816.4781
4,0,0,1,1,5496.0561
4,0,0,0,0,3861.9856
4,0,0,1,1,7594.5636
4,0,0,1,1,6114.2814
4,0,0,0,0,3955.7458
4,0,0,1,1,5202.1927
4,0,0,1,1,6543.2506
4,0,0,1,1,5451.2412
4,0,0,1,1,5852.3707
4,0,0,0,0,6203.6366
4,0,0,1,0,7074.9787
4,0,0,1,1,5616.9985
4,0,0,1,1,4707.1358
4,0,0,1,1,5653.9454
4,0,0,1,1,5669.6494
4,0,0,0,0,4364.1897
4,0,0,0,0,5451.2412
4,0,0,0,0,3958.6691
4,0,0,0,0,5004.8673
4,0,0,0,0,4364.1897
4,0,0,0,0,3746.2779
4,0,0,0,0,4201.1809
4,0,0,1,1,4006.4325
4,0,0,1,1,5877.6242
4,0,0,1,1,6453.1331
4,0,0,1,1,6292.3722
4,0,0,1,1,4902.7187
4,0,0,0,0,5903.0505
4,0,0,0,0,5706.8709
4,0,0,0,0,5706.8709
4,0,0,1,1,5562.5381
4,0,0,0,0,3624.4928
4,0,0,0,0,5881.2002
4,0,0,0,0,4936.9158
4,0,0,1,1,7147.4967
4,0,0,1,1,6624.8067
4,0,0,1,1,6569.7474
4,0,0,1,1,6220.5327
4,0,0,1,0,5205.825
4,0,0,0,0,5436.7542
4,0,0,0,0,3958.5078
4,0,0,0,0,4588.2341
4,0,0,1,1,3702.1463
4,0,0,1,1,4522.4464
4,0,0,1,1,4766.8031
4,0,0,0,0,3699.5631
4,0,0,0,0,3958.6691
4,0,0,0,0,4296.2695
4,0,0,0,0,4336.9201
4,0,0,0,0,4375.9839
4,0,0,0,0,4201.1809
4,0,0,0,0,4658.5746
4,0,0,0,0,4466.3279
4,0,0,0,0,5455.0474
4,0,0,1,1,3435.7305
4,0,0,0,0,7156.8117
4,0,0,0,0,5648.9257
4,0,0,1,1,4641.0259
4,0,0,1,1,6065.0187
4,0,0,0,0,5739.1258
4,0,0,0,0,5653.9454
4,0,0,1,1,4364.1897
4,0,0,1,1,4365.2133
4,0,0,0,0,5337.8451
4,0,0,1,1,4476.3524
4,0,0,1,1,6407.6515
4,0,0,1,1,7469.3805
4,0,0,1,1,5653.9454
4,0,0,1,1,4707.1358
4,0,0,0,0,3699.5631
4,0,0,1,0,4349.7169
4,0,0,1,1,5715.5231
4,0,0,0,0,4764.6414
4,0,0,0,0,5084.6381
4,0,0,0,0,4079.0091
4,0,0,0,0,3670.2004
4,0,0,0,0,4167.837
4,0,0,0,0,3513.4914
4,0,0,0,0,3513.4914
4,0,0,0,0,4341.2526
4,0,0,0,0,5212.9083
4,0,0,1,1,6676.7171
4,0,0,1,1,5675.5048
4,0,0,0,0,3746.2779
4,0,0,0,0,3291.1772
4,0,0,0,0,3352.8494
4,0,0,0,0,4135.7083
4,0,0,1,1,4221.613
4,0,0,1,1,3732.4809
4,0,0,1,1,4426.0484
4,0,0,0,0,5125.1779
4,0,0,1,1,3978.1693
4,0,0,0,0,5790.6053
4,0,0,1,1,5109.151
4,0,0,1,1,4128.7576
4,0,0,0,0,4533.5394
4,0,0,0,0,4557.9762
4,0,0,0,0,4951.0887
4,0,0,1,1,7475.7988
4,1,0,1,1,6292.1386
4,0,0,0,0,4746.3452
4,0,0,0,0,4450.9411
4,0,0,1,1,4450.9411
4,0,0,0,0,4592.6875
4,0,0,0,0,3544.0742
4,0,0,0,0,3568.6756
4,0,0,0,0,3683.4476
4,0,0,0,0,4067.9936
4,0,0,1,1,4542.3496
4,0,0,1,1,4811.5474
4,0,0,0,0,4191.5859
4,0,0,0,0,3966.487
4,0,0,1,1,3490.0972
4,0,0,1,1,5210.9621
4,0,0,0,0,3839.5298
4,0,0,0,0,3584.2191
4,0,0,0,0,4080.4214
4,0,0,0,0,4542.3496
4,0,0,0,0,6255.1722
4,0,0,0,0,4867.4307
4,0,0,0,0,3513.1452
4,0,0,1,1,3903.6687
4,0,0,0,0,4048.1664
4,0,0,0,0,4251.3611
4,0,0,0,0,3586.0054
4,0,0,1,1,3608.0413
4,0,0,1,1,4042.0032
4,0,0,1,1,4180.4698
4,0,0,1,1,4703.0414
4,0,0,1,1,4970.3028
4,0,0,1,1,4507.704
4,0,0,1,1,4450.9411
4,0,0,1,1,7502.7889
4,0,0,1,1,4147.3699
4,0,0,1,1,4282.4929
