HRHHID,HRHHID2,PULINENO,HRMONTH,base_year,n_obs,returned
970985099741199,80001,1,6,2005,1.0,0.0
240800067533228,80001,2,6,2005,2.0,0.0
494982100097839,80001,2,6,2005,1.0,0.0
502609434997288,80001,1,6,2005,2.0,0.0
010800061652219,80001,1,6,2005,2.0,0.0
560463605028089,80001,2,6,2005,2.0,1.0
047145100690692,80001,1,6,2005,1.0,0.0
926578559000796,80001,1,6,2005,2.0,0.0
086565310993594,80001,1,6,2005,3.0,0.0
434506070100133,80001,1,6,2005,2.0,0.0
936091973539310,80001,2,6,2005,3.0,0.0
080135096052339,80001,2,6,2005,2.0,0.0
954249910629503,80001,2,6,2005,1.0,0.0
565912704081419,80001,2,6,2005,2.0,1.0
566943702067478,80001,1,6,2005,3.0,0.0
568992700090439,80001,1,6,2005,2.0,0.0
785005983519400,80001,1,6,2005,1.0,1.0
979064623049210,80001,1,7,2005,3.0,1.0
930074941038630,80001,3,7,2005,1.0,0.0
400509958214096,80001,2,7,2005,3.0,0.0
589400611360640,80001,1,7,2005,3.0,1.0
093812806051659,80001,1,7,2005,1.0,0.0
619640114480920,80001,1,7,2005,1.0,0.0
846309020649006,80001,1,7,2005,1.0,0.0
300609939750985,80001,1,7,2005,2.0,1.0
300609949225854,80001,1,7,2005,1.0,0.0
637056967039470,80001,2,7,2005,2.0,0.0
520986078203349,80001,2,7,2005,2.0,1.0
744079639900983,80001,1,7,2005,3.0,1.0
754039866029210,80001,2,7,2005,1.0,0.0
720214095513529,80001,1,7,2005,2.0,1.0
310209954516489,80001,2,7,2005,2.0,0.0
436198809200819,80001,1,7,2005,2.0,0.0
882079440279108,80001,2,7,2005,3.0,1.0
195982103013697,80001,1,7,2005,1.0,0.0
195983103013695,80001,1,7,2005,2.0,0.0
571389013905795,80001,2,7,2005,2.0,0.0
020241470019604,80001,1,7,2005,3.0,1.0
191844054909771,80001,1,7,2005,3.0,1.0
191844054909771,80001,2,7,2005,3.0,1.0
037072200980298,80001,2,7,2005,1.0,0.0
048962400691046,80001,1,7,2005,3.0,1.0
420009958076593,80001,2,7,2005,3.0,1.0
220009937926497,80001,1,7,2005,1.0,0.0
932619630059205,80001,2,7,2005,2.0,0.0
620935069722764,80001,1,7,2005,1.0,0.0
904703062991393,80001,1,7,2005,3.0,1.0
420309921262797,80001,1,7,2005,3.0,1.0
420309921262797,80001,2,7,2005,3.0,0.0
220609971034697,80001,1,7,2005,1.0,1.0
739293209600846,80001,2,7,2005,2.0,0.0
420609977619193,80001,2,7,2005,3.0,0.0
420709970528497,80001,2,7,2005,3.0,0.0
892109042907793,80001,2,7,2005,1.0,1.0
379953606026326,80001,1,7,2005,2.0,1.0
004705293999103,80001,1,7,2005,3.0,1.0
392942502026317,80001,1,7,2005,1.0,0.0
546374229300921,80001,1,7,2005,3.0,0.0
014493340978096,80001,1,7,2005,2.0,1.0
643026003908293,80001,1,7,2005,2.0,1.0
740399089600993,80001,1,7,2005,3.0,1.0
393963903098626,80001,1,7,2005,2.0,1.0
981036587329280,80001,2,7,2005,1.0,0.0
227361229700942,80001,1,7,2005,1.0,0.0
430706933504699,80001,2,7,2005,3.0,1.0
230807907755896,80001,1,7,2005,1.0,0.0
326394759800921,80001,2,7,2005,1.0,0.0
330809991273288,80001,1,7,2005,2.0,1.0
175018187320830,80001,1,7,2005,1.0,0.0
204601554992500,80001,2,7,2005,3.0,0.0
497932000099139,80001,1,7,2005,1.0,1.0
993051914439980,80001,2,7,2005,2.0,1.0
240209939555190,80001,2,7,2005,1.0,1.0
469880619500724,80001,2,7,2005,1.0,1.0
498962100015529,80001,2,7,2005,1.0,0.0
764304084909290,80001,2,7,2005,3.0,1.0
802906844994338,80001,2,7,2005,1.0,0.0
240800067533228,80001,2,7,2005,1.0,0.0
494982100097839,80001,2,7,2005,,
502609434997288,80001,1,7,2005,1.0,0.0
497983609097918,80001,2,7,2005,2.0,1.0
010800061652219,80001,1,7,2005,1.0,0.0
560463605028089,80001,2,7,2005,1.0,1.0
910829530546503,80001,2,7,2005,2.0,1.0
089600616920725,80001,2,7,2005,1.0,0.0
089600616920945,80001,2,7,2005,2.0,0.0
348599909100925,80001,1,7,2005,3.0,0.0
909001901539190,80001,1,7,2005,2.0,0.0
936091973539310,80001,2,7,2005,2.0,0.0
080135096052339,80001,2,7,2005,1.0,0.0
499640600030635,80001,2,7,2005,2.0,1.0
568992700090439,80001,1,7,2005,1.0,0.0
350500062997510,80001,2,7,2005,2.0,1.0
175290140831502,80001,1,7,2005,3.0,1.0
365544054909393,80001,1,7,2005,3.0,1.0
810904034909393,80001,1,8,2005,2.0,0.0
852008480100190,80001,2,8,2005,3.0,0.0
120924075909562,80001,1,8,2005,3.0,1.0
299960537490630,80001,1,8,2005,1.0,1.0
299960537490630,80001,2,8,2005,1.0,1.0
930074941038630,80001,3,8,2005,,
400509958214096,80001,2,8,2005,2.0,0.0
599400601730650,80001,1,8,2005,3.0,0.0
140564096104847,80001,1,8,2005,2.0,1.0
300609949225854,80001,1,8,2005,,
300907915983163,80001,1,8,2005,1.0,0.0
205705930590249,80001,2,8,2005,3.0,0.0
201570063903975,80001,2,8,2005,1.0,0.0
950279550779101,80001,1,8,2005,3.0,1.0
711604025808194,80001,1,8,2005,3.0,1.0
951071703139420,80001,1,8,2005,,
951071703139420,80001,3,8,2005,,
198934603089289,80001,1,8,2005,2.0,0.0
310209954516489,80001,2,8,2005,1.0,0.0
436198809200819,80001,1,8,2005,1.0,0.0
890426095513039,80001,2,8,2005,1.0,0.0
403900101692813,80001,1,8,2005,1.0,0.0
195983103013695,80001,1,8,2005,1.0,0.0
257200550570104,80001,2,8,2005,3.0,0.0
